iter	Passed	Remaining
0	12604	18893877
1	12766	9562146
2	12921	6447833
3	13079	4891632
4	13230	3955821
5	13382	3332133
6	13531	2886067
7	13673	2550148
8	13814	2288670
9	13975	2082279
10	14128	1912483
11	14288	1771781
12	14452	1653163
13	14615	1551348
14	14779	1463123
15	14937	1385474
16	15097	1317060
17	15253	1255856
18	15404	1200729
19	15574	1152532
20	15742	1108704
21	15884	1067152
22	16030	1029406
23	16178	995002
24	16346	964426
25	16487	934723
26	16653	908555
27	16806	883538
28	16957	860153
29	17106	838224
30	17268	818295
31	17430	799636
32	17580	781523
33	17741	764954
34	17905	749477
35	18063	734591
36	18219	720397
37	18379	707134
38	18544	694718
39	18704	682726
40	18854	670943
41	18987	659139
42	19140	648567
43	19288	638282
44	19408	627535
45	19580	618914
46	19736	610157
47	19884	601507
48	20038	593399
49	20198	585751
50	20352	578237
51	20503	570934
52	20657	563999
53	20811	557298
54	20978	551170
55	21117	544537
56	21286	538891
57	21438	533004
58	21593	527405
59	21762	522295
60	21892	516451
61	22027	510894
62	22179	505898
63	22306	500491
64	22454	495735
65	22614	491356
66	22737	486315
67	22892	482080
68	23028	477590
69	23183	473608
70	23344	469840
71	23482	465744
72	23634	462009
73	23784	458327
74	23937	454814
75	24090	451375
76	24243	448024
77	24401	444865
78	24555	441682
79	24705	438516
80	24850	435336
81	24991	432164
82	25134	429108
83	25268	425950
84	25422	423202
85	25574	420488
86	25722	417772
87	25862	414977
88	26012	412393
89	26167	409956
90	26315	407453
91	26448	404784
92	26585	402205
93	26742	400001
94	26894	397754
95	27054	395675
96	27200	393430
97	27340	391135
98	27497	389131
99	27646	387044
100	27771	384673
101	27897	382363
102	28030	380178
103	28167	378096
104	28307	376087
105	28447	374114
106	28588	372182
107	28720	370170
108	28850	368172
109	28974	366131
110	29121	364414
111	29262	362642
112	29409	360981
113	29563	359435
114	29691	357593
115	29846	356102
116	29979	354377
117	30119	352760
118	30261	351188
119	30410	349719
120	30549	348160
121	30701	346771
122	30848	345348
123	30994	343942
124	31118	342305
125	31278	341085
126	31441	339917
127	31602	338737
128	31766	337614
129	31923	336427
130	32058	335027
131	32206	333776
132	32336	332365
133	32472	331020
134	32614	329766
135	32762	328589
136	32889	327216
137	33044	326130
138	33201	325083
139	33358	324056
140	33522	323099
141	33671	322008
142	33830	321031
143	33947	319674
144	34111	318766
145	34268	317804
146	34388	316515
147	34522	315368
148	34649	314174
149	34790	313112
150	34942	312166
151	35076	311070
152	35195	309856
153	35327	308775
154	35468	307776
155	35611	306805
156	35749	305807
157	35888	304827
158	36006	303677
159	36147	302735
160	36302	301920
161	36461	301141
162	36614	300325
163	36761	299468
164	36915	298682
165	37056	297793
166	37202	296947
167	37342	296075
168	37497	295317
169	37661	294648
170	37806	293826
171	37961	293096
172	38098	292236
173	38250	291494
174	38410	290824
175	38561	290086
176	38721	289428
177	38880	288766
178	39034	288072
179	39181	287332
180	39331	286620
181	39479	285903
182	39594	284950
183	39742	284248
184	39907	283668
185	40051	282942
186	40206	282307
187	40346	281569
188	40501	280937
189	40660	280344
190	40801	279629
191	40957	279024
192	41099	278324
193	41260	277763
194	41394	277025
195	41544	276397
196	41682	275694
197	41851	275206
198	42003	274603
199	42157	274025
200	42313	273458
201	42467	272882
202	42623	272329
203	42772	271728
204	42916	271109
205	43081	270618
206	43220	269973
207	43377	269440
208	43528	268876
209	43665	268228
210	43813	267654
211	43960	267078
212	44111	266534
213	44256	265951
214	44405	265401
215	44568	264933
216	44704	264309
